2021-08-16 11:34:11.178 [DEBU] [ 24 ms] [default] SHOW FULL COLUMNS FROM `user` 
2021-08-16 11:34:11.189 [DEBU] [  9 ms] [default] SELECT COUNT(1) FROM `user` WHERE `passport`='test001' 
2021-08-16 11:35:12.973 [DEBU] [  9 ms] [default] SELECT COUNT(1) FROM `user` WHERE `passport`='test001' 
2021-08-16 11:36:20.500 [DEBU] [  6 ms] [default] SHOW FULL COLUMNS FROM `user` 
2021-08-16 11:36:20.502 [DEBU] [  0 ms] [default] SELECT COUNT(1) FROM `user` WHERE `passport`='test001' 
2021-08-16 11:36:23.219 [DEBU] [  0 ms] [default] SELECT COUNT(1) FROM `user` WHERE `nickName`='john' 
2021-08-16 11:36:47.168 [DEBU] [  1 ms] [default] SELECT COUNT(1) FROM `user` WHERE `passport`='test001' 
2021-08-16 11:37:58.258 [DEBU] [  4 ms] [default] SHOW FULL COLUMNS FROM `user` 
2021-08-16 11:37:58.261 [DEBU] [  0 ms] [default] SELECT COUNT(1) FROM `user` WHERE `passport`='test001' 
2021-08-16 11:38:01.704 [DEBU] [  0 ms] [default] SELECT COUNT(1) FROM `user` WHERE `nickName`='john' 
2021-08-16 11:38:23.695 [DEBU] [  1 ms] [default] SELECT COUNT(1) FROM `user` WHERE `passport`='test001' 
2021-08-16 11:38:23.695 [DEBU] [  0 ms] [default] SELECT COUNT(1) FROM `user` WHERE `nickName`='john' 
2021-08-16 11:38:35.226 [DEBU] [  3 ms] [default] SHOW FULL COLUMNS FROM `user` 
2021-08-16 11:38:35.227 [DEBU] [  0 ms] [default] SELECT COUNT(1) FROM `user` WHERE `passport`='test001' 
2021-08-16 11:38:35.228 [DEBU] [  0 ms] [default] SELECT COUNT(1) FROM `user` WHERE `nickName`='john' 
2021-08-16 11:38:35.242 [DEBU] [ 14 ms] [default] INSERT INTO `user`(`nickname`,`id`,`passport`,`password`,`create_at`,`update_at`) VALUES('john',0,'test001','123456','2021-08-16 11:38:35','2021-08-16 11:38:35')  
2021-08-16 11:38:59.672 [DEBU] [  1 ms] [default] SELECT COUNT(1) FROM `user` WHERE `passport`='test001' 
2021-08-16 11:39:01.650 [DEBU] [  0 ms] [default] SELECT COUNT(1) FROM `user` WHERE `passport`='test001' 
2021-08-16 11:39:02.531 [DEBU] [  0 ms] [default] SELECT COUNT(1) FROM `user` WHERE `passport`='test001' 
2021-08-16 11:39:03.617 [DEBU] [  0 ms] [default] SELECT COUNT(1) FROM `user` WHERE `passport`='test001' 
2021-08-16 11:39:04.569 [DEBU] [  1 ms] [default] SELECT COUNT(1) FROM `user` WHERE `passport`='test001' 
2021-08-16 11:39:05.414 [DEBU] [  2 ms] [default] SELECT COUNT(1) FROM `user` WHERE `passport`='test001' 
2021-08-16 11:39:06.424 [DEBU] [  0 ms] [default] SELECT COUNT(1) FROM `user` WHERE `passport`='test001' 
2021-08-16 11:40:03.004 [DEBU] [  4 ms] [default] SELECT `id`,`passport`,`password`,`nickname`,`create_at`,`update_at` FROM `user` WHERE Passport='test001' and Password='123456' LIMIT 1 
2021-08-16 11:40:03.998 [DEBU] [  0 ms] [default] SELECT `id`,`passport`,`password`,`nickname`,`create_at`,`update_at` FROM `user` WHERE Passport='test001' and Password='123456' LIMIT 1 
